text,gold_label,source
"I can’t stop laughing and quoting songs or lines from movies…or saying obscene things like “my vertabrae feels like a carnivorous dairy product”. Yes, this obviously could be mania, because I’ve been having problems with that for the past couple months, but I’m also hearing and seeing things, too. I keep hearing people talking bad about me, usually my friends’ or family’s voices, saying things like “you’re worthless, stupid, pathetic, ugly, blah blah blah”. A lot of the time I hear it when I’m alone and no one is there, which scares me.",Mind Reading,annotated
i used to hide it from everyone due to fear of being ridiculed for it but i cant anymore,Mind Reading,annotated
"One person knows about my ED and I am so scared to get help even though I know that I need it. I’m 18 so I can get help without my family knowing which is a big deal for me because I can not let them know. They have a lot to deal with right now plus my mother does not really understand how to deal with things.I am scared of my father and stay away from him so I can’t tell him either, my whole family dynamic is screwy.",Labeling,annotated
"After looking for work for almost 3 years I am become reluctant to put any more effort into this fruitless action. I feel the same way about pursuing any kind of relationship. I have no goals, dreams, or plans for the future.Honestly i just want to walk out of the house with the clothes on my back and embrace the fact that i shouldn’t run away from my fate of dying on the street.",Overgeneralization,annotated
"I have been divorced for 11 years and I really don’t know who I am since I no longer am a hands on mother.I am lonely, confused and miserable. I am desparately trying to hang on.",Labeling,annotated
He assures me that relationship is over and he is with me now. I want to underline the fact that he is not cheating on me in this dream.,Emotional Reasoning,annotated
I”ve lived in Houston for 16 years and am miserable. I hate it here. but i have two kids (6 and 9) and have been married 12 years. My marriage sucks. I can’t stand my husband. Everything he does agitates me. We fight all the time. We have no money and it seems to get worse everyday. I wouldn’t be surprised if i lost my house one day very soon.,All-or-Nothing Thinking,annotated
I feel like I will never get over this.,Emotional Reasoning,annotated
The problem in a nutshell is that I have no close friends and when I’m single (which is the case right now) I’m completely lonely and more depressed than ever.,All-or-Nothing Thinking,annotated
"At first I tried to help and it wasn’t easy as I was feeling depressed but i always put him first. But, I thought about what would happen if he killed himself and now I want him to do it, I want him to die.",All-or-Nothing Thinking,annotated
My question is if there is a connection between early brain health and major recurrent depression,Personalization,annotated
We have been dating for 7 months now and my parents will not approve.,Fortune-telling,annotated
"I have been recently dealing with weird behavior.It may sound like I’m a brat,but I feel that’s not the case because i have never experienced feelings and behaviors like this.",Labeling,annotated
I swore I would never cheat on my husband because I never forgave myself for cheating on him with the married guy. I broke up that guy’s marriage and I didn’t love him.,Personalization,annotated
"About a year ago I re-entered into a serious relationship with an ex-boyfriend. He is essentially my only ‘real’ ex. We were together through both of our college careers and were only apart for one year before we got back together.In all the time we’ve been together neither of us has ever cheated on the other, but for some reason I find myself constantly paranoid that he will.",Magnification,annotated
"I feel that my actions are not natural and are being constantly controlled by my conscious mind. My brain feels overwhelmed from all the information that it is receiving and I just can’t act normal (even if I look normal, I don’t feel normal).",Emotional Reasoning,annotated
"He is a wonderful person and my best friend, but as we are starting to consider getting engaged, I am finding myself very concerned with the negative aspects of our relationship.",Mind Reading,annotated
"I am very anxious when I talk to people, and tend to blank out, or just go mute. I want this to stop, please help! When I talk to somebody I get very anxious, my palms sweat, and I never can think of anything to say. I used to be a very outgoing person, now I seem to be unable to talk to anybody I do not know.",Overgeneralization,annotated
"I had never seen a male therapist before but I didn’t mind, because I get along better with men anyway – and I also thought that I would benefit more from it, seeing that the reason I was there in the first place had to do with a man.",Overgeneralization,annotated
"I recently checked his email, which was wrong, but I now don’t know if he’ll ever forgive me for it.I don’t want to cause problems in the relationship but I don’t know how I can get over my stupidity of being so insecure.",Fortune-telling,annotated
"I have been suffering from bulimia for four months now. I realize the health risks and I know I have a problem. I have been trying to stop for a month now with no success. Before this problem I was healthy and now I fear that all my hard work I have completed over the years to be a healthy person are going down the drain.I know that I have some self esteem issues and I will continue to work on that, but do you have any advice or tricks to stop these behaviors that have seemed to become habitual and uncontrollable.I have always dealt with my problems in the past and I would like to give this a shot.",Should statements,annotated
I’ve always had real bad health problems. And my family has always treated me like a piece of crap. But recently it’s gotten worse. My grandma’s friend told my grandma a lie about me claiming I said ‘I’d cut off girls’ fingers if they came into my room! now this is a total lie. I would actually like it if a girl came into my room xD.,Magnification,annotated
"I never thought much of it because I just thought I was a normal teenage girl who liked to party a little too much, didn’t really know who I was, and was sad & insecure sometimes.",All-or-Nothing Thinking,annotated
"I feel extremely anxious when doing tasks (even small ones like packing/unpacking a suitcase).I then push everything aside and get nothing done. My habits of cleanliness such as my apartment have declined because I refuse to motivate myself to clean. I’ll find myself in the kitchen then in the bedroom for some reason the randomly in the bathroom, ultimately accomplishing nothing.I also feel pressured on what to do when I finish my masters and feel like I’m too lackadaisical to even search for jobs.",All-or-Nothing Thinking,annotated
I have a very difficult time staying attracted to women I date. Most all of them would be considered attractive. I don’t want to come off as shallow because I definitely am not.,Labeling,annotated
"He was very supportive, which I needed, and he knows me very well. I felt i had gone as far as I could with him on problems I was haveing with ADHD problems and problems with schooling. I felt bad for him that I just kept failing to improve.",Personalization,annotated
"I grew up in a chaotic household with a bizarre, usually absent father and a raging, abusive and hate-filled mother.",Labeling,annotated
What’s wrong with me?! Agh I need help! I can’t sleep! I keep hearing voices and seeing dead people! I saw my sister dead in the fireplace! UGH I don’t know what to do! This happens nightly! Should I tell my mom what is happening?! WHAT IS WRONG WITH ME AND WHAT DO I DO?!!! Do I have schizophrenia or something?!,Magnification,annotated
"About six months after beginning the personal relationship she summarily dismissed me after a session by not giving me a future appointment. No explanation what so ever. I became so frustered and upset that I just left. I have tried to communicate with several times for an explanation and have not received a response. At the least to me her behavior was unethical, unprofessional and down right mean. She has no remorse regarding the pain she has caused me. I believe she has done this before and will do it again..no one should be subjected to what she did to me.",Mind Reading,annotated
My GF thinks that if I reply to her that I will end up back together with her.,Mind Reading,annotated
"Before I was depressed, I never had issues. I never doubted my friends. I took their yes as a yes. Now my mind analyses everything to an extent where I get terribly drained and tired from all the thinking. I was such a simple person before depression. And I dont like being like this because Im making things hard for my friends..because Im always doubting them OR guessing things that I think they might be thinking..which 99% of the times are wrong. I was never an insecure person…does this mean I am now? I want things to be simple..but depression makes it so hard. I feel like I should isolate myself from others..because I cant be a true friend if I cant truly trust them. I make life hard for them. And I dont want too. Maybe Im too over protective.Maybe Im too attached to the extent where I go over board. I dont know.",Personalization,annotated
"Sometimes i have weeks where i will cry everyday, become angry and sometimes to the extent of hurting myself. Then i’ll have days where i am happy and it seems like everything is fine. I am very sensitive to critism, and even the smallest of things can upset me. I am a very shy person because i get very anxious, nervous and my heart will start beating really fast when talking to people i hardly know or dont know at all, which has recently become a problem and has affected school assignments where we have to do oral presentations. I have trouble staying focused sometimes.",Labeling,annotated
"Even though I didn’t want to end it, the arguments we had over the living together issue seemed to push him to the point of wanting to leave.",Mind Reading,annotated
"I feel very lucky. I have lots of things I know many don’t. I have a roof over my head, food, friends, & family. Yet I always feel as if “Who am I to have all this and walk/drive right pass so many people who are just hungry and do nothing?” I used to have lots n lots of hopes and dreams. Now, I feel as if I don’t need any of those things nor do I want them.",All-or-Nothing Thinking,annotated
"I am mostly concerned with my inabiity to stop blaming myself. Logically,I know and tell myself that it is not my fault. However, there were signs that I should have paid attention to.Why didn’t I see that if I couldn’t bare to be around him, mostly because of his torture to me and my family. I should of known and I definitely should have listen to the experts. Now people are dead, because I failed them",Personalization,annotated
I am struggling at the moment and yet I am aware that I should be feeling good.,Should statements,annotated
For as long as I can remember I have been backwards when it come to sleep.,Labeling,annotated
I knew I needed to make something of myself so that I would not turn into them.,Fortune-telling,annotated
I dont know how to tell my parents that its serious.,Fortune-telling,annotated
I feel like I’m going crazy,Labeling,annotated
Everything just seems to be slipping out of my grasp lately. It’s all my fault most likely all i do is constantly worry about everything.,Overgeneralization,annotated
"I am sad. Clinically depressed.I rode a bike, but a car hit me in July and my knee got infected. I am still limping and lost the one thing that makes me happy – riding my bike.",Mental filter,annotated
"When I go to the store, I believe that I hear people talking about me in there heads, as though I can hear their thoughts.",Mind Reading,annotated
my dad and my mom are seperated i barely see my dad but sometimes he will call me and promise he will take me somewhere or get me that gift i wanted or something like that but more and more lately my dad has been breaking promises and i can’t help but to cry he has broken to many and i am tired of crying but i always do i expect it now but i always do i don’t want to cry over him anymore,Mental filter,annotated
"I really don’t want to feel this way and i have tried over and over again to change it, but it’s like nothing is going through my mind like whatever i tell it, it just doesn’t want to listen i try to force myself many times to do stuff but it’s like it doesn’t want to do anything i already know everything others are telling me but my mind is just ignoring everything like shutting itself away, like i am a walking corpse.To be more blunt i feel like inside i am dying and i just can’t seem to revive it and people keep telling me i am lazy and what not but i just can’t seem to do anything.",Emotional Reasoning,annotated
"It’s all the time I laugh out loud because of my daydreaming whatever I’m feeling. For example If I am at the grocery store and I see a cute guy I would imagine I was his girlfriend and we had the perfect relationship, BUT if a another girl went to him I would get so upset and I would HAVE to leave the store because of that.",Emotional Reasoning,annotated
"When a negative event, for example-someone calls me ‘ugly’, I’ll feel bad about it. Then, I’ll think about the person who called me ‘ugly’ and associate their gender, with the event. I also do this when I’m at a place. If something bad happens at a certain place, if it’s a school or a store, I’ll avoid that place to not remember the event.",Overgeneralization,annotated
"I’ve been through 14 jobs all told (9 welding, 1 maintenance and 4 odd jobs for cash). I liked the Air Force(welding/machinist) job and a mining machinery job the best… I’ve been released from probation during the maintenance job and fired from a welding job two years ago over a dispute with the boss about timeliness/quality of my work(which he was becoming more critical about). Most jobs I’ve been laid off from",Overgeneralization,annotated
"It feels like the world is collapsing in on me. That is why I stay inside a lot, and play my video games.",Emotional Reasoning,annotated
"There are only two people in my life that I trust to help me out in a sticky situation, but sometimes I cannot trust them to keep personal conversations that we have to their selves.",Mind Reading,annotated
But as soon as i step out of my house it feels as if im being watched by all these people around me.. they think im wrong.. im not a nice person.. It sort of haunts mei feel very scared of being misjudged.. And that’s what happens sometimes.. or may be all the time.. I don’t know how to stop worrying and get back my confidence..,Mind Reading,annotated
I have had a lot of change happen this last year in every possible area of life but my thinking patterns just seem to be more prominent and I am pretty scared to think where they may lead.,Fortune-telling,annotated
"I feel like why bother to do things, go to school, clean my house etc. I have been thinking about the end of the world in 2012 and figure why bother doing anything. I have been playing with fire with my meds because I just don’t care.",Emotional Reasoning,annotated
"But now that I’ve ruined another relationship recently, I decided I should seek help. As a young child, I was always put down by my brother and felt I was never good enough because my dad would never congratulate me on anything, just that I can do better. Now that I’ve been trying to have a relationship with girls, I always make them hate me by putting myself down. Everything I do just makes me feel worse about myself, and I need help with my confidence before I end up hurting myself.",Personalization,annotated
"Her mother to this day calls her (from the east coast, we live in Los Angeles) to tell her what a horrible daughter she is, what a failure she is, and cuss her out.",Labeling,annotated
Although my grades had always been superior emotionally I was a wreck and had to drop out.,Emotional Reasoning,annotated
I would like to take an antidepressant but i’m afraid to because i have epilepsy and i don’t want it to cause any seizures.I feel to ashamed to tell my parents or anybody i know i’m even to ashamed to tell my family doctor about this.,Fortune-telling,annotated
I have a great boyfriend of 2 years yet I fear something is wrong with me…I developed a crush on someone at work and think about this person a lot.I feel like I have commitment issues…most of my friends would love to marry my man but I am hesitant and don’t know why. I guess I can’t figure out why I can’t just be satisfied like a normal person. What is it that I am seeking? Will I ever be able to settle down? I don’t want to lose what I have with him but I would love the freedom and good time to explore someone new.,Personalization,annotated
"Where most people our age would worry about their jobs, bills, retirement and so on, she is only concerned with makeup, hair, music and her friends. She is also extremely gullible.",Should statements,annotated
I feel like I cut myself off from other people because of my fear of rejection and my anxiety.,Personalization,annotated
I can’t imagine not having him in my life. I’ve never loved anyone like i love him. The only problem is that we fight all the time. He literally drives me crazy and we are hardly ever happy anymore.,Overgeneralization,annotated
My husband was acting like he was having an affair. He was lying to me.,Emotional Reasoning,annotated
"My junior year of high school I was depressed (sad, apathetic, irritable, indecisive, guilty, empty, having nausea and headaches)on and off, but in addition to the general feelings of “low mood” I’d have these brief episodes of extreme dysphoria– I was really agitated and felt desperate and hopeless and suicidal and empty and hollow.I’ve been hypervigilant ever since the panic attack, and when I went to college the hypochondria came back and stayed for about a month and a half.",Labeling,annotated
"It’s been a year and a half since his death, and she has grown very distant. It feels like she takes all her issues out on me. She is generally hateful to me, never shows me any attention, and list goes on and on. I seem to get the brunt of things. It seems like there is no hope for us. I don’t understand what she is going though.",All-or-Nothing Thinking,annotated
"I am uncomfortable returning to see her. I feel as if the therapeutic relationship is damaged for me somehow. Not sure how it got off track. I want to talk about it with her, find out what’s going on, but not sure how to approach it with her. Maybe therapy has run its course. Not sure how to proceed.",Emotional Reasoning,annotated
"I have gained back all the weight that I had lost during Interferon Therapy. I feel alone in my life. I don’t know what to do with myself. I still work but that is all there is. My wife and I get along but there is no emotional closeness between us. She goes out on the weekends with her girlfriends and I stay home. I have no close friends, I am over weight and lack confidence in myself. Nothing excites me, Nothing to look forward to.",Mental filter,annotated
My relationship has always been in trouble because of my wife’s suspicious nature. She never trusts me on any thing and The problem is of so high magnitude that I am suffocated and very much frustrated all the time.,Magnification,annotated
"There is a blur in my life that I absolutely cannot remember. I can remember right before I started school, when I was 4 or 5. Then there is about 2 or 3 years that is completely lost. I have never though much about until here of late. It all centers around a place that me and my family stayed.I am just wondering if maybe my mind has blocked out the span of those years for a reason.",Magnification,annotated
She was also very arrogant as “she was a perfect beauty with brains” women.,Labeling,annotated
"I believe that I’ve got a mental illness, and that’s pretty obvious to me. The thing is that i also believe that i want to have one.",Emotional Reasoning,annotated
"I love my kids; I love to be around them. If I had my choice I would never leave their sides. I can’t, however, feel like I am a good parent for allowing them to live in the environment I have created.",Personalization,annotated
I feel a lot of psychological issues have been burnt into my mind because of their behavior.,Emotional Reasoning,annotated
I’ve Always been the kid that thinks there listening but is tapping there pencil staring out the window or moving my feet around which makes people around you mad. It takes me forever to read something i even have to read the questions close before i tAke it in.Im a good reader it’s just like my mind doesn’t know what it just read.,Magnification,annotated
I believe that I have issues trusting people.,Emotional Reasoning,annotated
I don’t even know how to meet new people anymore. I don’t even know where to start on finding a new girlfriend. Mainly cause I don’t want to but I feel like it needs to be done bc I feel I’m holding her back and she even says I am.All I think about everyday is what do I have to live for. I want to get my pro licence but I don’t even have the drive to do it. All I want is my life to end and most days I feel like if I don’t do it myself my life will just get worse. If that’s possible. I won’t kill myself.,All-or-Nothing Thinking,annotated
"I get so angry at her whenever she tries to tell me she’ll change, and that she’ll get better. I get angry because I know its a complete lie, and I despise getting lied to. Its happened too many times to me.",Fortune-telling,annotated
"I am always feeling like I am making wrong decisions. I suffer frequent headaches and when I do, I feel like I have done something that has angered or upset God.",Personalization,annotated
"I feel like she has been fake, and is suddently resenting meShe probably feels discouraged. I tend to be brutally honest and perhaps that made her mad at me? Resentful that I am taking vacations and she cant.",Mind Reading,annotated
People get me wrong because of this unstoppable habit all the time.,Mind Reading,annotated
"if so how do i fix myself, im too scared to tell my councellor because she thinks ive made so much progress wih everything else i dont want to dissapoint her and shed probably want me to tell mom who would make me eat at the table again so she knows im eating",Mind Reading,annotated
"At times I really do feel like I’m going crazy and I also feel that I can’t really talk to anyone about this because they’ll either think I’m being attention seeking or overly dramatic, however I don’t think either of these things are true and I do generally feel like I’m totally lost with finding a solution to this problem.",Mind Reading,annotated
