index,text,extracted,reasoning,predicted_label
10,"I feel like he has split personalities. Many times he doesn’t remember tasks he completed days ago. We are at a stressful time in our relationship which includes the 6 month old baby. We used to be best friends and still today sometimes we enjoy time shared with the baby, but I see more and more he has no idea of what I’m referring to because he asks, “huh?” all the time. There has been lingering problems. I really don’t understand any of this and I’m falling deeply into depression myself that along with the baby weight I can’t shed. If I ask him for the truth he will simply look me in the face and tell another lie. {I can’t bear it, seriously.}","""I feel like he has split personalities."", ""Many times he doesn’t remember tasks he completed days ago."", ""We are at a stressful time in our relationship..."", ""If I ask him for the truth he will simply look me in the face and tell another lie."", ""I can’t bear it, seriously.""","The statement includes an extreme and negative label ""he has split personalities"" that categorizes the other person in a rigid and negative way based on frustration and observed behavior. This reflects Labeling, which is assigning a global negative tag to someone instead of focusing on specific behaviors or situations. The speaker generalizes specific instances of forgetfulness and dishonesty to a broad, negative personal trait. There is also emotional reasoning present, but the strongest distortion is Labeling because the person is being labeled with a severe mental condition without evidence, which goes beyond interpreting isolated events emotionally.",Labeling
11,During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business.,"""was scared to take them""; ""started my own dot-com business""","The phrase ""was scared to take them"" indicates the speaker's feeling of fear influencing their decision-making. There is no indication that they predict future events negatively (which would be fortune-telling), nor do they generalize or label themselves negatively. The statement reflects an emotional state (fear) guiding their actions, suggesting emotional reasoning where feelings dictate thoughts and behaviors.",Emotional Reasoning
12,"Why can she look like that but I have to work to keep myself healthy? Why are such high expectations put on me that she doesn’t live up to? She is my biggest role model, and all I can think of at this moment is starving myself until I look like her.But when she’s not…my motivation goes away and I want to restrict.","""Why can she look like that but I have to work to keep myself healthy?"", ""Why are such high expectations put on me that she doesn’t live up to?"", ""all I can think of at this moment is starving myself until I look like her"", ""when she’s not…my motivation goes away and I want to restrict.""","The statement highlights a dichotomous view where the speaker believes their role model can look a certain way effortlessly, while they must work hard and still feel inadequate. The phrase 'all I can think of…starving myself until I look like her' suggests an extreme, binary mindset about achieving an ideal physical state. Additionally, the motivation is all-or-nothing, disappearing completely when the role model is not present or inspiring. This indicates rigid, black-and-white thinking typical of All-or-Nothing Thinking, rather than a more nuanced or probabilistic view.",All-or-Nothing Thinking
13,"I am highly disorganized, I’m concerned with being diagnosed with schizophrenia or something like that","""I am highly disorganized"", ""I’m concerned with being diagnosed with schizophrenia or something like that""","The first phrase shows self-labeling as ""highly disorganized,"" which fits the 'Labeling' distortion. The concern about being diagnosed with schizophrenia suggests a negative prediction about the future without evidence, which aligns with 'Fortune-telling.' However, these two distortions cannot both be the final label; we must choose the most overarching one. The labeling part ('I am highly disorganized') frames the person with a negative, global identity which often leads to the subsequent worry ('concerned with... diagnosis'). The root distortion guiding the thought process is 'Labeling,' since it sets a negative self-identity that likely triggers the worry. The worry about diagnosis is a consequence rather than the primary distortion. Therefore, the primary distortion is 'Labeling.'",Labeling
14,I was a very difficult child to raise. There was constant fighting between myself and my parents.I couldn’t talk to anyone because I had no trust in adults.,I was a very difficult child to raise; There was constant fighting between myself and my parents; I couldn’t talk to anyone because I had no trust in adults.,"The statement 'I was a very difficult child to raise' assigns a negative, fixed label to oneself, which aligns with labeling. The phrase 'constant fighting' indicates ongoing conflict but does not necessarily imply a cognitive distortion by itself. The lack of trust in adults leading to not talking to anyone may show a broad, generalized view of adults, but the defining distortion here is the use of a negative, global label on oneself ('very difficult child to raise'). This is characteristic of the Labeling distortion, where one attaches a negative label to themselves based on past behavior or conflicts.",Labeling
15,"When someone tries to talk to me, I get so nervous about what they think of me that I end up seeming uninterested or maybe even snobby, probably. Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone in whispering to another person, I pretty much assume that they are talking badly about me, and I panick.At school, I get so caught up worrying if I smell bad or If my makeup is smeared I immagine everyone is looking at me funny.Im always thinking that people think im a loser, and I wont leave the house without makeup, because i am horrified about what other people think about me.","Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone is whispering to another person, I pretty much assume that they are talking badly about me. Im always thinking that people think I'm a loser. I imagine everyone is looking at me funny.","The key phrases indicate that the person frequently makes assumptions about what others think without any concrete evidence. For instance, assuming people whispering are talking badly about them, or thinking others see them negatively. This reflects the belief that one can know others' thoughts and feelings directly, which is characteristic of 'Mind Reading'. Other distortions like Fortune-telling could be relevant, but the emphasis is specifically on assuming knowledge of others' thoughts, not predicting future events. Therefore, the cognitive distortion that best fits is 'Mind Reading'.",Mind Reading
16,"everything was perfect and I trusted him whole-heartedly. Up until recently I’ve been very suspicious and my trust just keeps going down. I started to lose trust when finding a text message in his phone from someone calling him “babe” on Valentines Day. He said it was nothing like that, and I asked to see the rest of the messages from that person but he said no because he thought that would change the dynamics of our relationship and that I am supposed to just trust him, so I let it go. Ever since that occasion it’s been so hard for me to trust him like I did in the beginning. But I almost feel like I’m convincing myself because I just have this feeling inside. Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?",I’ve been very suspicious and my trust just keeps going down; I almost feel like I’m convincing myself because I just have this feeling inside; Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?,"The key issue revolves around the person having a strong feeling of distrust without solid evidence, almost 'convincing' themselves based on an internal feeling rather than objective facts. They worry about getting hurt in the future and are trying to predict the outcome of the relationship, questioning whether to end it before potential pain occurs. This reflects a type of thinking where negative outcomes are anticipated as if they are certain, which aligns with 'Fortune-telling.' The person is forecasting a negative future despite uncertainty. Other distortions like Emotional Reasoning are present but less central, as the main cognitive distortion applied here is predicting a negative future outcome without conclusive proof.",Fortune-telling
17,"But sometimes I can’t help what I say to my parents. If they’re in my face yelling about what I just said or how I forgot to do something, how can I not yell back? My parents say its disrespect, but I feel that they have no respect for me when they’re yelling in my face.But to avoid these confrontations I feel the only way to do this is to COMPLETELY IGNORE my whole family. I’ve been doing this by sleeping all day and my schoolwork is suffering, I also barely eat because of sleeping all day. But these arguments always seem to find their way into my life.","‘If they’re in my face yelling… how can I not yell back?’, ‘I feel that they have no respect for me when they’re yelling in my face.’, ‘the only way to do this is to COMPLETELY IGNORE my whole family’, ‘I’ve been doing this by sleeping all day... schoolwork is suffering’, ‘these arguments always seem to find their way into my life.’","The speaker interprets their parents' yelling as a lack of respect, basing this conclusion primarily on the emotional experience of feeling disrespected ('I feel that they have no respect for me'). This reflects Emotional Reasoning: assuming that because they feel disrespected, it must be true. Additionally, the speaker decides the only solution is to 'completely ignore' their family and avoids addressing the situation directly, which shows reliance on emotional discomfort to guide their perception and decisions rather than objective evidence or alternative explanations. Other distortions like Overgeneralization or All-or-Nothing Thinking are less fitting because the main process is interpreting feelings as facts rather than broad generalizations or dichotomous thinking.",Emotional Reasoning
18,"Then, I decided to become vegetarian and anorexic. To tell you the truth, I wasn’t a complete vegan at first. I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup. In seventh grade, I became full-fledged vege, and continued to have problems. In eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.","I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup; In seventh grade, I became full-fledged vege; in eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.","The statement shows a progression from being partially vegetarian to being completely vegetarian and then adopting an extremely rigid dietary stance described as 'food nazi'. This implies a shift from a flexible approach to an all-or-nothing mindset regarding diet (either mostly vegetarian or fully vegetarian with strict rules). The term 'food nazi' also reinforces a black-and-white or perfectionist attitude. There is no indication of emotional reasoning, fortune-telling, or other distortions; instead, the narrative reflects rigid dichotomous thinking patterns typical of all-or-nothing thinking.",All-or-Nothing Thinking
19,"We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship","we were always happy, never argued, never tired of each other, and all of friends and family looked at us as having the perfect relationship","The statement describes the relationship in absolute, perfect terms with no room for imperfection or variability, suggesting a rigid, black-and-white view. Words like 'always happy' and 'never argued' indicate a failure to acknowledge any negative aspects or normal fluctuations in relationships, which exemplifies an all-or-nothing perspective rather than a balanced view.",All-or-Nothing Thinking
20,"The trip sucked he wasn’t interested in me based on his saying, attitude and he stated drinkingI want to believe him but I have a feeling I will have to take him to small claims court for this.","he wasn’t interested in me based on his saying, attitude and he started drinking; I want to believe him but I have a feeling I will have to take him to small claims court","The statement suggests the speaker interprets the person's behavior (saying, attitude, drinking) as disinterest, which aligns with Mind Reading since the speaker assumes what the other person is thinking or feeling without direct evidence. Additionally, the speaker anticipates a negative future outcome (taking him to small claims court) without certainty, which reflects Fortune-telling. However, the dominant cognitive distortion here is Mind Reading because the initial judgment about disinterest is drawn from perceived signals rather than explicit communication.",Mind Reading
21,"The same goes for my life – I just can’t seem to get anything started: Job applications, writing routines, relationships with the opposite sex, you name it.","""I just can’t seem to get anything started: Job applications, writing routines, relationships with the opposite sex, you name it.""","The statement claims a universal inability to initiate any activities across multiple unrelated domains (job applications, writing routines, relationships), implying that failure applies to 'anything' without exception. This reflects an overgeneralization, where one negative experience or feeling is extended broadly to all areas of life, rather than recognizing specific or isolated difficulties.",Overgeneralization
22,My fiance is close with his mother and I don’t know how to tell him I am uncomfortable with this situation without offending him and his mother. His mother has been known to hold grudges and I don’t want to get on her bad side before I marry her son,I don’t know how to tell him I am uncomfortable without offending him and his mother; His mother has been known to hold grudges; I don’t want to get on her bad side before I marry her son,"The person assumes that expressing discomfort will definitely offend both the fiancé and his mother, and that the mother will hold a grudge, leading to a negative outcome. This involves making a negative prediction about how others will react without evidence, which aligns with predicting the future negatively. Therefore, the cognitive distortion here is anticipating a negative outcome without certainty.",Fortune-telling
23,my brother always gets everything he goes and sees my dad and gets £30 or more of him every time he gets money for stuff as well everyday and when I go and see my dad all i get is a £5. My brother also got a xbox connect of my dad. I asked my dad for a xbox 360 and he said he has no money but he always gets my brother stuff and when my brother comes home he brags about it and I’m getting fed up of it. My birthday comes and all he gets me is a little ornament I don’t want to seem ungrateful its just he treats my brother different to me he should treat us both the same but he don’t. I think its favouritism.,"my brother always gets everything; he gets £30 or more from dad every time; I only get £5; brother got an Xbox, I asked for an Xbox 360 but dad said no money; brother brags; I’m fed up; dad treats brother differently; he should treat us both the same; I think it’s favouritism.","The speaker perceives that their father treats their brother better, giving him more money and gifts. They express a belief that the father 'should' treat both equally, implying an expectation or rule about fairness. This indicates a 'should statement' distortion, where rigid demands or rules about how things 'should' be create distress. While the speaker may be feeling upset, the core distortion stems from their insistence that their father must treat them both the same way.",Should statements
24,I always feel like people talk about me and hav had suicidal thouts before.,"""I always feel like people talk about me"" and ""had suicidal thoughts before""","The key phrase 'I always feel like people talk about me' indicates a belief that others are consistently engaging in negative behavior toward the speaker without concrete evidence. This reflects assuming knowledge of others' thoughts or intentions, which fits the definition of 'Mind Reading.' The mention of 'had suicidal thoughts before' appears to be additional personal disclosure and does not represent a cognitive distortion in this context. Therefore, the primary distortion is 'Mind Reading' because the speaker presumes to know what others are thinking.",Mind Reading
25,I have grown very much but he has not. He will not deal with any issues between us. He is really immature. He never accepts responsibility for his part in any problem. (Everything is always my fault according to him.),"""He is really immature."", ""He never accepts responsibility for his part in any problem."", ""Everything is always my fault according to him.""","The statement includes a negative, global judgment about the other person by calling him ""really immature,"" which is a label rather than an objective assessment. This label oversimplifies the person's behavior and character without nuance. The speaker also generalizes about the other person's refusal to take responsibility, which supports the labeling. Thus, the core distortion lies in assigning a negative label to a person rather than focusing on specific behaviors or situations.",Labeling
26,"He’s never cheated, lied, or anything remotely close to that. He’s always been honest with me and never fails to be affectionate and tell me how much he cares about me. But I can’t trust him. And I get extremely bad separation anxiety when I’m not with him. I always want to try and control him, who he’s with, where he goes, what he’s doing, and I never want him to do anything if I’m not involved. And it’s starting to ruin our relationship.","""He’s never cheated, lied, or anything remotely close to that."", ""He’s always been honest with me and never fails to be affectionate."", ""I can’t trust him."", ""I get extremely bad separation anxiety when I’m not with him."", ""I always want to try and control him, who he’s with, where he goes, what he’s doing."", ""I never want him to do anything if I’m not involved."", ""It’s starting to ruin our relationship.""","The statement acknowledges that the partner has been honest and caring, yet the speaker experiences a persistent feeling of mistrust and anxiety when apart. Despite evidence to the contrary (partner's honesty and affection), the speaker still 'can’t trust him' and seeks to control his actions and interactions. This indicates that their feelings (anxiety and mistrust) are driving their belief about the partner's trustworthiness rather than objective evidence. This aligns with emotional reasoning, where feelings are taken as proof of reality. The desire to control and the mistrust coexist with factual contrary evidence, showing the distortion is rooted in emotions rather than facts.",Emotional Reasoning
27,Also I feel like I am lonely at my house.So I don’t know if I am the reason that I cause it because we are different.,"""I feel like I am lonely at my house"" and ""I don’t know if I am the reason that I cause it because we are different.""","The statement reflects the feeling of loneliness and immediately questions whether the speaker is the cause of this loneliness, attributing the problem to themselves because of perceived differences. This indicates the speaker is personalizing the situation — taking responsibility for external events or others' feelings without clear evidence. It is not emotional reasoning, because the feeling is stated but the attribution to self as cause points more directly to personalization rather than just basing truth on feelings. It is not mind reading, because the speaker is not assuming others’ thoughts, but rather blaming themselves. Therefore, the core cognitive distortion here is Personalization.",Personalization
28,and there have been times where i figured why should i even live that nothing i ever do is good enough. i mostly feel like a failure sometimes.,"""nothing i ever do is good enough"", ""i mostly feel like a failure sometimes""","The phrase ""nothing i ever do is good enough"" reflects a belief that all actions or efforts fail universally, which is an overgeneralization from specific events to a broad, absolute conclusion. Feeling like a failure most of the time also supports this pattern, as it generalizes occasional setbacks to a pervasive, all-encompassing feeling of failure. This is not about a black-and-white view of situations (All-or-Nothing), nor about interpreting feelings as facts (Emotional Reasoning), nor predicting future events (Fortune-telling), or imposing labels on oneself unrelated to evidence (Labeling). It most clearly exemplifies Overgeneralization, where a single or few negative experiences are taken as a global and permanent truth.",Overgeneralization
29,I know your advice is to be the bigger person.,I know your advice is to be the bigger person.,"The key phrase 'I know your advice' implies the speaker is assuming they understand the other person's thoughts or intentions without explicit confirmation. This reflects an assumption about what someone else is thinking. Among the listed distortions, 'Mind Reading' involves assuming you know what another person is thinking. Therefore, the statement exhibits the 'Mind Reading' distortion.",Mind Reading
30,"I have realized that the major internal problem I have is that I lack an identity, lack interests, lack emotions, and therefore have trouble with social interaction. I am hopelessly apathetic at heart, and I don’t know how to reconcile the true ‘me’ with the image others expect–that of a ‘normal’ person who has passions and desires. I care about nothing–not politics or current events, not my friends or family or other people, not sports or music or art. Outwardly, I am a high-achieving, well-rounded student.Occasionally a particularly poignant tragedy or example will make feel like helping out, but on the whole, I am completely apathetic. The same goes for the social aspects of my life. My childhood, family, and friendships were and are normal, but I do not have emotional connections to anyone; if somebody ‘close’ to me died, I would only be concerned with how it would affect my own convenience. I don’t have any academic, athletic, or arts-related interests either, and I do not believe the problem is lack of exposure.","I lack an identity, lack interests, lack emotions; hopelessly apathetic; no emotional connections to anyone; care about nothing; outwardly high-achieving but internally apathetic; do not believe problem is lack of exposure.","The statement focuses on broad, sweeping negative conclusions about the self, such as having no identity or emotions at all and being completely apathetic in all aspects of life. The individual generalizes this lack of feelings and interests to every domain (social, academic, emotional) and assumes it is a fixed internal problem. This is a classic example of overgeneralization, where one perceives isolated difficulties or feelings as a pervasive, universal flaw without exceptions. The presence of absolutes like 'I care about nothing,' 'I don’t have any… interests,' and the belief that the problem is internal and unchangeable supports this interpretation.",Overgeneralization
31,I want to know if our family unit is savable would therapy help what should I do. I don’t want to be a bad mother and I don’t want to lose my family.,"""I don’t want to be a bad mother""; ""I don’t want to lose my family""","The speaker expresses a fear of being a 'bad mother' and losing their family, which implies a negative self-judgment (labeling themselves as potentially 'bad') and a catastrophic anticipation of losing their family. The focus on being a 'bad mother' is a classic example of labeling, where a person assigns a negative, global label to themselves based on fears or isolated incidents rather than facts. Although there is some fortune-telling (worrying about what might happen, like losing the family), the core cognitive distortion here is labeling, as it involves defining oneself negatively.",Labeling
32,"Any time that we try to resolve an issue, she blows up uses the F-word, tells me she doesn’t care about me, and doesn’t want to be in the same room with me. We are talking screaming here.I have not been perfect, but I always own up to my mistakes and apologize","Any time that we try to resolve an issue, she blows up uses the F-word, tells me she doesn’t care about me, and doesn’t want to be in the same room with me. We are talking screaming here. I have not been perfect, but I always own up to my mistakes and apologize.","The key phrase is 'Any time that we try to resolve an issue...' which implies that the negative reaction happens every single time without exception. This suggests a pattern drawn from repeated instances and generalized to all instances. The speaker acknowledges some personal fault but emphasizes always owning mistakes and apologizing, implying frustration with the perceived constant negativity from the other person. The distortion here involves taking multiple instances and forming a universal negative conclusion about the other person's behavior every single time, reflecting a black-or-white perspective without nuance.",Overgeneralization
33,"In the past few years, I haven’t been getting much out of life. I don’t feel anything like I used to. Anger, happiness, joy, and even sadness seem to have left me. Things that used to give me emotional pleasure now just seem to entertain and occupy my mind. I don’t have ups and downs like teenagers are supposed to everything just seems kind of flat with a few dips. Things don’t feel very “real” anymore, the real world feels dreamy and I am constantly withdrawn.","I haven’t been getting much out of life; I don’t feel anything like I used to; emotions like anger, happiness, joy, and sadness seem to have left me; things that used to give me pleasure now only entertain; no emotional ups and downs, everything feels flat; the real world feels dreamy and I am withdrawn.","The statement reflects a pervasive negative emotional state and a sense of emotional numbness or detachment. The individual perceives a significant change in their emotional experiences, focusing mainly on the lack of emotional highs and lows and the flatness of life. There is a generalization of this experience over a period of years, suggesting a broad conclusion from ongoing feelings rather than a specific event. The person states that emotions ‘seem to have left me,’ and ‘things just entertain and occupy’ without pleasure, which indicates a negative global outlook regarding their emotional life. This fits the pattern of overgeneralization, where a few experiences or feelings are generalized to describe the entirety of life and emotional experience.",Overgeneralization
34,"Medication resistant, i have tried them all. I have tried all the medications out there for depression and bipolarI don’t know how to find the best dr for this and am afraid of cognitive loss, memory loss.","""Medication resistant, I have tried them all."", ""I have tried all the medications out there for depression and bipolar."", ""I don’t know how to find the best dr for this."", ""am afraid of cognitive loss, memory loss.""","The key phrase 'I have tried them all' and 'I have tried all the medications out there' indicates a broad generalization that no medication will ever work, without considering that new treatments or combinations might still help. This is an example of overgeneralization, where a single or limited set of negative experiences is used to make a broad conclusion about all possibilities. Additionally, the fear of cognitive and memory loss reflects anxiety but does not necessarily fit other distortions precisely. The main distortion driving the statement is the overgeneralization about medication resistance.",Overgeneralization
35,"I feel nothing on a regular basis. For example if I got a call saying that my mother died, I don’t think I would even cry.I want to ask my parents, or anyone for help, but I’m afraid of being laughed at.I observe everyone’s actions with relationships and reasoning and feel like everyone is, for lack of a better term, retarded.For example, if I call a friend and they don’t answer I immediately think they are ignoring me and go into a downward spiral of depression until I hear back from them.",I immediately think they are ignoring me and go into a downward spiral of depression until I hear back from them.,"The person assumes that just because a friend does not answer the phone, the friend is deliberately ignoring them. There is no evidence provided to support this assumption, and the belief is made without confirmation or concrete information. This reflects an attempt to predict a negative outcome or assume what others are thinking without proof, fitting the definition of 'Fortune-telling.' Other distortions like Mind Reading could also be considered, but the focus is on anticipating a negative outcome (being ignored) rather than directly assuming what the friend thinks.",Fortune-telling
36,"Last year, because of a stupid mistake i made, i had a huge falling out with some of my best friends and the rest of them had betrayed me.","""a stupid mistake i made"", ""i had a huge falling out with some of my best friends"", ""the rest of them had betrayed me""","The statement includes self-blame with the phrase ""a stupid mistake i made,"" indicating personalization. The claim that ""the rest of them had betrayed me"" suggests a broad, sweeping conclusion about many friends based on a few events, which indicates overgeneralization. The phrase ""huge falling out with some... best friends"" may also heighten the negativity of the event, hinting at magnification. However, the primary cognitive distortion is the speaker taking full responsibility for the issue (personalization) and generalizing the betrayal to the entire group (overgeneralization). Since the statement focuses on blaming oneself and others in a generalized way, overgeneralization best captures the distortion.",Overgeneralization
37,We would fight almost everyday and he would always lie to me and never gave me the love and support that I really needed. It even got to the point where I would have to ask him to show me that he loves me and appreciates me and all the stuff that a boyfriend should already do for his girlfriend.,"""he would always lie to me"", ""never gave me the love and support that I really needed"", ""I would have to ask him to show me that he loves me and appreciates me and all the stuff that a boyfriend should already do for his girlfriend""","The statement focuses on recurring negative behaviors (lying, lack of love and support) and general expectations of what a boyfriend should do. The phrase 'should already do for his girlfriend' indicates the presence of 'should statements' where the speaker is asserting how the boyfriend ought to behave. The complaints about constant negative behavior suggest a broad expectation rather than isolated events, but the key cognitive distortion is identified by the presence of 'should' in describing expected behaviors.",Should statements
38,"I seem to have different people who live inside me. Unlike what I know about DID, though, we all know about each other. We don’t always but occasionally we do talk to each other. I might comfort the child that is sad or the watchful one might tell me their impression of someone. We don’t forget what’s going on when one of the others is controlling the body.","I seem to have different people who live inside me. Unlike what I know about DID, though, we all know about each other. We don’t always but occasionally we do talk to each other. I might comfort the child that is sad or the watchful one might tell me their impression of someone. We don’t forget what’s going on when one of the others is controlling the body.","The statement describes a nuanced understanding of having different internal parts or 'people,' referencing Dissociative Identity Disorder (DID) but distinguishing the speaker's experience from commonly understood characteristics of DID. The speaker acknowledges awareness and occasional communication among these parts, and there is no evidence of negative, distorted thinking patterns such as black-and-white thinking, catastrophizing, or labeling. The description appears factual and self-reflective without cognitively distorted conclusions. Therefore, the statement fits best with 'No Distortion.'",No Distortion
39,"This year i’m not takking any anti-depressants because they never really helped. I have only a few exams left and then my master’s thesis, but i can’t do anything. i escape into fantasy and SF films and novels- the only thing that shuts me and the world out for some time.","‘they never really helped’, ‘i can’t do anything’, ‘i escape into fantasy and SF films and novels - the only thing that shuts me and the world out for some time’","The statement 'they never really helped' suggests a broad conclusion based on possibly limited experience with antidepressants, which points to overgeneralization. The phrase 'I can’t do anything' indicates a negative global assessment of ability, reinforcing this overgeneralization. The mention of escaping into fantasy as the only relief hints at emotional reasoning — using feelings of helplessness and escape to justify actions and judgments about reality. However, the core cognitive distortion lies in the broad, definitive conclusion about antidepressants being ineffective ('never really helped') and inability to act, which aligns best with Overgeneralization. Emotional reasoning is present but secondary.",Overgeneralization
